DrugID	smi
D01BUT	CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CC2=CN=CC=C2)NC(=O)C(CCCN=C(N)N)NC(=O)C(CO)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C
D06TQD	CCN1C(=CC(=N1)CC2=CC=CC=C2)C3CCN(CC3)CC4CC(CC4C5=CC(=CC=C5)F)N(C)C(C(C)C)C(=O)O
D00JIV	C1COCCN1C2=C(C(=C(S2)C3=NC=NN3)C4=C(C=C(C=C4)C#N)F)C#N
D09VHS	C1CN(CCN1)C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
D07DNV	C1=CC=C(C(=C1)NCC2=CC=CC=N2)O
D08GBT	CCN1C(=C(C(=O)C2=C1N=C(C=C2)C#CC(C)(COC)O)C(=O)NC)N
D0D3CJ	COC1=CC(=NC=C1)CCC2=NC3=C(N2)C=CC=N3
D0O3SA	CCCN1C2=C(C(=O)N(C1=O)C3CC3)NC(=N2)C4=CN=C(C=C4)N(CC)C(=O)C5=CN=CC=C5
D0J3EA	CN1CCC2C1CN(C2)C(=O)NC3=C(C=C4C(=C3)C(=NC=N4)NC5=CC=CC(=C5)C#C)OC
D0OE2Z	CCCCCCCCCCOC(=O)CCCC=CC1C2CCC(C2)C1CNS(=O)(=O)C3=CC=C(C=C3)Br
D0U4SS	CCOC1=NC(=NC2=C1NC3=C2C=CC(=C3)C4=CC=NC=C4)N5CCNCC5
D0H3JH	CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C(C)(C)C)C3=CN(C(=O)C(=N3)NC4=CC=C(C=C4)C(=O)N5CCOCC5)C
D0Y4WR	CCCCCCCC(CC(=O)O)OC(=O)CC(CCCCCCC)OC1C(C(C(C(O1)C)O)O)OC2C(C(C(C(O2)C)O)O)O
D0C5GF	CN(C)CCC1=C(NC2=C1C=C(C=C2)OC)C3=CC=CC=C3
D0D2GL	CC(C1=CC=C(C=C1)P(=O)(O)O)(C(=O)O)N
D0L0VU	CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC(=NN3C)OCC(=O)NC4=CC5=C(C=C4)OCO5
D0A6IO	CCCN1C=C2C(=N1)N=C(N3C2=NC(=N3)C4=CC=CO4)NC(=O)NC5=CC=C(C=C5)OC
D04UCF	CCCN1C=C2C3=NC(=NC3C(=NC2=N1)NC(=O)NC4=CC(=CC=C4)Cl)C5CCCO5
D02SKN	CCOC1=CC2=C(C(=C1)OCC)C(=O)C(=C(O2)C3=CC=CC=C3)OCC
D0XC9U	CCCOC1=CC2=C(C(=C1)OCCC)C(=O)C(=C(O2)C3=CC=CC=C3)OCCC
D0G6SL	COC1=CC2=C(C=C1)OC(C(C2=O)O)(C#CC3=CC=CC=C3)C4=CC=CC=C4
D09TBE	COC1=C2C=COC2=CC3=C1C(=O)C=C(O3)C=CC4=CC=CC=C4
D07VCN	CCOC1=C2C=COC2=CC3=C1C(=O)C=C(O3)C=CC4=CC=CC=C4
D00CVD	CC1=CC(=C(C=C1)C2=C(C(=O)C3=C(O2)C=CC(=C3)Cl)Cl)OC(C)C
D0L3BI	CCCOC1=C2C=COC2=CC3=C1C(=O)C=C(O3)C=CC4=CC=CC=C4
D0V3ZG	C1OC2=C(O1)C=C(C=C2)C3=CC(=CC(=C3)OCCCCCCC4=C(C(=CC=C4)OCCCC(=O)O)CCC(=O)O)C5=CSC=C5
D0H2LN	CCCCCCCCC1=CC=C(C=C1)CCC(CO)(COC)N
D02QUS	C1C2=C(C=CN2C(S1)C3=CN=CC=C3)C(=O)NC4=CC(=CC=C4)Cl
D0U5NA	CN(C1=CC=CC=C1)C(=O)CN(C2=CC=CC=C2)C(=O)CNC(=O)NC3=CC=CC(=C3)CC(=O)O
D0Y8KY	CN(C1=CC=CC=C1)C(=O)CN(C2=CC(=CC=C2)OC)C(=O)CNC(=O)NC3=CC=CC(=C3)CCS(=O)(=O)O
D0T0CG	C1C2C(C(C(O2)N3C4=C(C(=O)NC(=N4)N)N=C3SC5=CC=C(C=C5)Cl)O)O[P+](O1)(O)S
D03TBA	CN=C(N)NC1=CC(=C(C=C1)OCCC2=CC=CC=C2)C3=CC=CC=C3
D00EFA	C1CN2CCC1C3(C2)CC4=C(O3)N=CC(=C4)NC(=O)NC5=CC=CC=C5
